Blocks,low_pharm,high_pharm,low_patient,high_patient
393,20409.5211,26527.207,255.1190132,331.590087
394,20407.0054,26523.8807,255.0875669,331.548509
395,20404.5024,26520.5713,255.0562798,331.507141
396,20402.0121,26517.2786,255.0251507,331.465983
397,20399.5343,26514.0025,254.9941785,331.425031
398,20397.0689,26510.7429,254.9633619,331.384286
399,20394.616,26507.4996,254.9326997,331.343745
400,20392.1753,26504.2725,254.9021909,331.303406
401,20507.6956,26636.4106,256.3461952,332.955133
402,20504.9858,26632.8789,256.312322,332.910987
403,20502.2894,26629.3648,256.2786169,332.86706
404,20499.6063,26625.868,256.2450786,332.82335
405,20496.9365,26622.3885,256.211706,332.779856
406,20494.2798,26618.9261,256.1784978,332.736576
407,20491.6362,26615.4808,256.1454528,332.693509
408,20489.0056,26612.0523,256.1125697,332.650654
409,20486.3878,26608.6406,256.0798474,332.608007
410,20483.7828,26605.2455,256.0472848,332.565569
411,20482.407,26603.4891,256.0300874,332.543613
412,20479.8243,26600.123,255.9978037,332.501537
413,20477.2541,26596.7732,255.9656762,332.459665
414,20474.6963,26593.4396,255.933704,332.417995
415,20472.1509,26590.1221,255.9018858,332.376526
416,20469.6176,26586.8205,255.8702206,332.335256
417,20467.0966,26583.5348,255.8387073,332.294185
418,20464.5876,26580.2648,255.8073447,332.253309
419,20468.5762,26587.2232,255.8572029,332.340289
420,20466.0757,26583.9599,255.8259457,332.299499
421,20488.3633,26614.6789,256.104541,332.683487
422,20485.8277,26611.3661,256.0728458,332.642076
423,20483.304,26608.069,256.0413005,332.600862
424,20480.7923,26604.7873,256.0099039,332.559842
425,20478.2924,26601.5212,255.9786551,332.519015
426,20475.8042,26598.2703,255.9475531,332.478379
427,20473.3277,26595.0347,255.9165967,332.437934
428,20470.8628,26591.8143,255.8857849,332.397678
429,20468.4093,26588.6088,255.8551168,332.35761
430,20465.9673,26585.4182,255.8245913,332.317728
431,20464.6967,26583.7892,255.8087087,332.297366
432,20462.2746,26580.6246,255.778432,332.257808
433,20459.8636,26577.4746,255.7482951,332.218432
434,20457.4638,26574.3391,255.7182971,332.179239
435,20455.075,26571.218,255.688437,332.140225
436,20452.6971,26568.1112,255.6587139,332.10139
437,20450.3301,26565.0187,255.6291269,332.062734
438,20447.974,26561.9403,255.5996749,332.024253
439,20445.6286,26558.8759,255.5703571,331.985948
440,20443.2938,26555.8254,255.5411726,331.947817
441,20464.6223,26585.215,255.807779,332.315188
